protected_areas_year_ended_30_june_all_other_protected_areas_ha, protected_areas_year_ended_30_june_protected_areas_num, land_area_land_area_ha, slr_instlltns_accmltve_ttl_2001_incrse_wtr_htr_frm_prvs_yr_pc, protected_areas_year_ended_30_june_national_parks_pc, sa2_maincode_2016, protected_areas_year_ended_30_june_indigenous_protected_area_ha, protected_areas_year_ended_30_june_protected_areas_total_pc, protected_areas_year_ended_30_june_nature_reserves_pc, protected_areas_year_ended_30_june_nature_reserves_num, slr_instlltns_accmltve_ttl_2001_smll_scle_pnl_systm_nm, protected_areas_year_ended_30_june_indigenous_protected_area_pc, protected_areas_year_ended_30_june_national_parks_num, sa2_name_2016, protected_areas_year_ended_30_june_protected_areas_total_num, yr, protected_areas_year_ended_30_june_all_other_protected_areas_pc, solar_installations_accumulative_total_2001_water_heater_num, protected_areas_year_ended_30_june_protected_areas_total_ha, protected_areas_year_ended_30_june_national_parks_ha, slr_instlltns_accmltve_ttl_2001_incrse_pnl_frm_prvs_yr_pc, protected_areas_year_ended_30_june_indigenous_area_num, protected_areas_year_ended_30_june_nature_reserves_ha
796,22,46152.3,10.5,null,"204011056",null,1.7,null,null,1422,null,null,"Kilmore - Broadford",22,2018,1.7,975,796,null,13.9,null,null
8131,31,392787.7,9.3,13.0,"204011057",null,15.0,null,null,1252,null,6,"Mansfield (Vic.)",37,2018,2.1,597,59000,50869,15.9,null,null
1994,35,168883.1,5.2,null,"204011060",null,1.2,null,null,456,null,null,"Seymour Region",35,2018,1.2,162,1994,null,14.3,null,null
185,6,85627.1,null,51.9,"204011061",null,52.1,null,null,19,null,2,"Upper Yarra Valley",8,2018,0.2,3,44587,44401,11.8,null,null
3236,39,147429.7,9.3,null,"204011062",null,2.2,null,null,576,null,1,"Yea",40,2018,2.2,211,3242,6,14.3,null,null
139,11,32680.6,11.9,1.2,"205011076",null,1.7,null,null,1785,null,1,"Drouin",12,2018,0.4,1515,542,403,15.5,null,null
4701,28,275332.8,7.9,8.1,"205011077",null,9.8,null,null,756,null,6,"Mount Baw Baw Region",34,2018,1.7,384,26960,22259,12.5,null,null
1037,4,35217.9,14.4,null,"205011079",null,2.9,null,null,1796,null,null,"Warragul",4,2018,2.9,1560,1037,null,15.1,null,null
1189,48,149884.7,2.3,2.8,"205031087",null,3.6,null,null,1670,null,2,"Foster",50,2018,0.8,657,5378,4189,10.6,null,null
169,5,17022.9,null,60.4,"205031088",null,61.4,null,null,55,null,1,"French Island",6,2018,1.0,9,10448,10279,7.8,null,null
495,11,60069.1,6.9,null,"205031089",null,0.8,null,null,1184,null,null,"Korumburra",11,2018,0.8,576,495,null,16.3,null,null
340,20,80100.8,4.7,null,"205031090",null,0.4,null,null,1288,null,null,"Leongatha",20,2018,0.4,774,340,null,12.8,null,null
1679,4,10057.3,15.9,null,"205031091",null,16.7,null,null,1565,null,null,"Phillip Island",4,2018,16.7,772,1679,null,21.0,null,null
1353,36,72876.3,14.2,null,"205031093",null,1.9,null,null,3110,null,null,"Wonthaggi - Inverloch",36,2018,1.9,1632,1353,null,15.6,null,null
null,null,532.0,6.5,null,"208011171",null,null,null,null,391,null,null,"Cheltenham - Highett (West)",null,2018,null,229,null,null,17.1,null,null
null,null,622.4,11.2,null,"208021174",null,null,null,null,772,null,null,"Bentleigh - McKinnon",null,2018,null,645,null,null,12.0,null,null
null,null,596.8,3.3,null,"213041360",null,null,null,null,1090,null,null,"Taylors Hill",null,2018,null,840,null,null,9.2,null,null
null,null,255.2,1.0,null,"213041461",null,null,null,null,335,null,null,"Burnside",null,2018,null,317,null,null,8.4,null,null
null,null,459.9,18.0,null,"208021426",null,null,null,null,556,null,null,"Bentleigh East (North)",null,2018,null,604,null,null,12.8,null,null
null,null,278.9,5.6,null,"206051130",null,null,null,null,261,null,null,"Port Melbourne",null,2018,null,113,null,null,19.7,null,null
null,null,474.3,10.8,null,"208021178",null,null,null,null,491,null,null,"Caulfield - South",null,2018,null,432,null,null,12.4,null,null
null,null,241.4,11.5,null,"206051134",null,null,null,null,274,null,null,"St Kilda East",null,2018,null,136,null,null,20.2,null,null
2092,14,103881.2,5.5,16.2,"201021009",null,18.2,null,null,707,null,2,"Bacchus Marsh Region",16,2018,2.0,481,18869,16778,9.6,null,null
1967,57,92075.8,3.2,null,"201021011",null,2.1,null,null,1246,null,null,"Daylesford",57,2018,2.1,484,1967,null,16.0,null,null
null,null,218.4,4.2,null,"206061135",null,null,null,null,178,null,null,"Armadale",null,2018,null,50,null,null,19.5,null,null
null,null,290.5,null,null,"206061136",null,null,null,null,247,null,null,"Prahran - Windsor",null,2018,null,102,null,null,17.1,null,null
null,null,230.4,2.7,null,"206071140",null,null,null,null,214,null,null,"Carlton North - Princes Hill",null,2018,null,75,null,null,12.0,null,null
3964,83,151498.1,6.4,null,"202021028",null,2.6,null,null,1499,null,null,"Castlemaine Region",83,2018,2.6,596,3964,null,12.0,null,null
429,17,55649.0,4.9,null,"202021030",null,0.8,null,null,1147,null,null,"Kyneton",17,2018,0.8,602,429,null,14.2,null,null
null,null,936.8,3.4,null,"203021037",null,null,null,null,1003,null,null,"Belmont",null,2018,null,674,null,null,10.8,null,null
30,1,8081.4,2.8,null,"203021038",null,0.4,null,null,1650,null,null,"Corio - Norlane",1,2018,0.4,806,30,null,7.9,null,null
null,null,514.3,4.7,null,"206011105",null,null,null,null,814,null,null,"Brunswick",null,2018,null,574,null,null,14.0,null,null
null,null,1281.7,4.8,null,"203021039",null,null,null,null,788,null,null,"Geelong",null,2018,null,330,null,null,13.2,null,null
null,null,3203.7,12.9,null,"203021040",null,null,null,null,1010,null,null,"Geelong West - Hamlyn Heights",null,2018,null,667,null,null,9.4,null,null
null,null,5570.5,15.0,null,"203021041",null,null,null,null,1571,null,null,"Grovedale",null,2018,null,2059,null,null,13.9,null,null
null,null,4058.7,3.1,null,"203021042",null,null,null,null,1581,null,null,"Highton",null,2018,null,1156,null,null,11.1,null,null
17,5,2792.9,2.2,null,"203021044",null,0.6,null,null,1128,null,null,"Leopold",5,2018,0.6,1327,17,null,12.6,null,null
890,3,4329.4,3.8,null,"203021045",null,20.6,null,null,1108,null,null,"Newcomb - Moolap",3,2018,20.6,488,890,null,9.9,null,null
null,null,580.8,4.8,null,"203021046",null,null,null,null,544,null,null,"Newtown (Vic.)",null,2018,null,262,null,null,17.5,null,null
80,1,2193.2,9.0,null,"203021047",null,3.6,null,null,873,null,null,"North Geelong - Bell Park",1,2018,3.6,571,80,null,9.5,null,null
6,2,6514.9,18.4,null,"203031048",null,0.1,null,null,1361,null,null,"Clifton Springs",2,2018,0.1,1425,6,null,15.9,null,null
null,null,318.0,6.1,null,"206011107",null,null,null,null,476,null,null,"Brunswick West",null,2018,null,226,null,null,14.4,null,null
null,null,693.5,4.4,null,"206011108",null,null,null,null,1338,null,null,"Coburg",null,2018,null,898,null,null,14.9,null,null
null,null,298.9,8.8,null,"206011109",null,null,null,null,383,null,null,"Pascoe Vale South",null,2018,null,370,null,null,11.7,null,null
null,null,126.7,null,null,"206071141",null,null,null,null,134,null,null,"Collingwood",null,2018,null,46,null,null,12.6,null,null
null,null,288.5,10.4,null,"206021110",null,null,null,null,475,null,null,"Alphington - Fairfield",null,2018,null,245,null,null,17.9,null,null
null,null,137.8,2.6,null,"206071142",null,null,null,null,177,null,null,"Fitzroy",null,2018,null,78,null,null,13.5,null,null
null,null,614.5,3.4,null,"206021111",null,null,null,null,1221,null,null,"Northcote",null,2018,null,666,null,null,12.2,null,null
null,null,499.7,7.9,null,"206021112",null,null,null,null,731,null,null,"Thornbury",null,2018,null,478,null,null,16.2,null,null
null,null,214.7,0.9,null,"206041121",null,null,null,null,278,null,null,"Kensington (Vic.)",null,2018,null,107,null,null,8.6,null,null
null,null,383.6,3.6,null,"206031113",null,null,null,null,523,null,null,"Ascot Vale",null,2018,null,341,null,null,11.3,null,null
null,null,844.3,6.5,null,"206031114",null,null,null,null,956,null,null,"Essendon - Aberfeldie",null,2018,null,493,null,null,10.6,null,null
null,null,236.9,null,null,"206041122",null,null,null,null,44,null,null,"Melbourne",null,2018,null,20,null,null,15.8,null,null
null,null,404.9,null,null,"206041124",null,null,null,null,74,null,null,"Parkville",null,2018,null,207,null,null,15.6,null,null
null,null,435.5,3.7,null,"206031116",null,null,null,null,490,null,null,"Moonee Ponds",null,2018,null,170,null,null,8.2,null,null
null,null,324.9,null,null,"206041123",null,null,null,null,213,null,null,"North Melbourne",null,2018,null,244,null,null,12.7,null,null
null,null,307.4,null,null,"206041126",null,null,null,null,16,null,null,"Southbank",null,2018,null,8,null,null,23.1,null,null
null,null,619.9,null,null,"206041127",null,null,null,null,null,null,null,"West Melbourne",null,2018,null,null,null,null,null,null,null
null,null,467.5,4.0,null,"206051128",null,null,null,null,265,null,null,"Albert Park",null,2018,null,105,null,null,15.7,null,null
null,null,686.9,null,null,"206051131",null,null,null,null,null,null,null,"Port Melbourne Industrial",null,2018,null,null,null,null,null,null,null
null,null,249.5,2.9,null,"206051132",null,null,null,null,155,null,null,"South Melbourne",null,2018,null,106,null,null,15.7,null,null
null,null,390.1,11.8,null,"206051133",null,null,null,null,279,null,null,"St Kilda",null,2018,null,133,null,null,17.7,null,null
null,null,251.7,2.6,null,"206061137",null,null,null,null,162,null,null,"South Yarra - East",null,2018,null,78,null,null,16.5,null,null
null,null,432.3,1.2,null,"206061138",null,null,null,null,176,null,null,"Toorak",null,2018,null,85,null,null,22.2,null,null
null,null,250.5,3.8,null,"206071143",null,null,null,null,426,null,null,"Fitzroy North",null,2018,null,243,null,null,12.4,null,null
null,null,621.3,1.8,null,"206071144",null,null,null,null,600,null,null,"Richmond (Vic.)",null,2018,null,386,null,null,9.5,null,null
null,null,520.9,5.9,null,"206071145",null,null,null,null,354,null,null,"Yarra - North",null,2018,null,199,null,null,14.9,null,null
null,null,174.1,4.5,null,"206071139",null,null,null,null,130,null,null,"Abbotsford",null,2018,null,70,null,null,8.3,null,null
null,null,558.5,8.8,null,"207011147",null,null,null,null,539,null,null,"Balwyn",null,2018,null,384,null,null,11.1,null,null
null,null,283.7,11.5,null,"207011146",null,null,null,null,362,null,null,"Ashburton (Vic.)",null,2018,null,281,null,null,13.5,null,null
null,null,884.9,11.6,null,"207011148",null,null,null,null,703,null,null,"Balwyn North",null,2018,null,432,null,null,14.1,null,null
null,null,729.2,8.3,null,"207011149",null,null,null,null,667,null,null,"Camberwell",null,2018,null,338,null,null,12.3,null,null
null,null,286.2,1.9,null,"208021179",null,null,null,null,289,null,null,"Elsternwick",null,2018,null,107,null,null,14.2,null,null
null,null,382.4,3.8,null,"207011152",null,null,null,null,314,null,null,"Hawthorn East",null,2018,null,136,null,null,11.3,null,null
null,null,1053.4,10.1,null,"207011153",null,null,null,null,736,null,null,"Kew",null,2018,null,283,null,null,12.7,null,null
null,null,570.5,13.1,null,"207011150",null,null,null,null,535,null,null,"Glen Iris - East",null,2018,null,310,null,null,12.6,null,null
null,null,567.2,11.1,null,"207011151",null,null,null,null,393,null,null,"Hawthorn",null,2018,null,170,null,null,13.3,null,null
null,null,860.8,9.5,null,"207031161",null,null,null,null,955,null,null,"Blackburn",null,2018,null,517,null,null,10.7,null,null
null,null,201.0,18.4,null,"208021180",null,null,null,null,273,null,null,"Hughesdale",null,2018,null,135,null,null,9.6,null,null
null,null,401.6,9.1,null,"207011154",null,null,null,null,242,null,null,"Kew East",null,2018,null,108,null,null,9.0,null,null
null,null,570.3,6.9,null,"207011155",null,null,null,null,543,null,null,"Surrey Hills (West) - Canterbury",null,2018,null,280,null,null,13.1,null,null
null,null,667.1,14.1,null,"207021156",null,null,null,null,459,null,null,"Bulleen",null,2018,null,202,null,null,11.7,null,null
null,null,877.4,24.5,null,"207021157",null,null,null,null,714,null,null,"Doncaster",null,2018,null,442,null,null,14.1,null,null
null,null,1611.8,11.0,null,"207021159",null,null,null,null,886,null,null,"Templestowe",null,2018,null,262,null,null,11.0,null,null
null,null,593.9,15.5,null,"207021160",null,null,null,null,569,null,null,"Templestowe Lower",null,2018,null,171,null,null,14.3,null,null
null,null,640.3,18.5,null,"207021424",null,null,null,null,557,null,null,"Doncaster East (North)",null,2018,null,243,null,null,12.8,null,null
null,null,476.8,18.6,null,"207021425",null,null,null,null,501,null,null,"Doncaster East (South)",null,2018,null,230,null,null,13.6,null,null
null,null,701.2,8.5,null,"207031163",null,null,null,null,599,null,null,"Box Hill",null,2018,null,508,null,null,7.9,null,null
null,null,503.9,10.9,null,"207031165",null,null,null,null,484,null,null,"Burwood",null,2018,null,376,null,null,11.0,null,null
null,null,620.9,11.9,null,"207031164",null,null,null,null,652,null,null,"Box Hill North",null,2018,null,366,null,null,14.0,null,null
null,null,596.8,6.8,null,"208011168",null,null,null,null,562,null,null,"Beaumaris",null,2018,null,282,null,null,15.4,null,null
null,null,568.5,9.3,null,"208011172",null,null,null,null,658,null,null,"Hampton",null,2018,null,330,null,null,15.0,null,null
null,null,820.1,5.8,null,"208011169",null,null,null,null,711,null,null,"Brighton (Vic.)",null,2018,null,344,null,null,15.4,null,null
null,null,643.0,7.1,null,"208011173",null,null,null,null,642,null,null,"Sandringham - Black Rock",null,2018,null,301,null,null,14.4,null,null
null,null,380.4,13.8,null,"208021176",null,null,null,null,492,null,null,"Carnegie",null,2018,null,273,null,null,12.6,null,null
null,null,641.9,9.3,null,"208021177",null,null,null,null,386,null,null,"Caulfield - North",null,2018,null,246,null,null,18.8,null,null
null,null,251.5,13.7,null,"208021181",null,null,null,null,257,null,null,"Murrumbeena",null,2018,null,141,null,null,12.2,null,null
null,null,293.7,12.0,null,"208021182",null,null,null,null,423,null,null,"Ormond - Glen Huntly",null,2018,null,318,null,null,12.2,null,null
null,null,908.2,null,null,"208031184",null,null,null,null,null,null,null,"Braeside",null,2018,null,null,null,null,null,null,null
null,null,582.4,2.6,null,"208031185",null,null,null,null,818,null,null,"Carrum - Patterson Lakes",null,2018,null,159,null,null,7.5,null,null
null,null,542.3,11.4,null,"208031186",null,null,null,null,710,null,null,"Chelsea - Bonbeach",null,2018,null,323,null,null,10.8,null,null
null,null,285.6,4.1,null,"211031452",null,null,null,null,249,null,null,"Croydon South",null,2018,null,101,null,null,12.7,null,null
null,null,873.8,8.2,null,"208031188",null,null,null,null,881,null,null,"Cheltenham - Highett (East)",null,2018,null,553,null,null,20.9,null,null
null,null,510.0,12.0,null,"208031189",null,null,null,null,674,null,null,"Edithvale - Aspendale",null,2018,null,279,null,null,12.9,null,null
null,null,407.5,3.9,null,"209011196",null,null,null,null,558,null,null,"Bundoora - East",null,2018,null,290,null,null,9.2,null,null
null,null,445.0,3.3,null,"208031190",null,null,null,null,427,null,null,"Mentone",null,2018,null,249,null,null,15.7,null,null
2,1,1009.7,4.7,null,"209011197",null,0.2,null,null,987,null,null,"Greensborough",1,2018,0.2,268,2,null,12.0,null,null
null,null,1170.0,8.5,null,"208031191",null,null,null,null,517,null,null,"Moorabbin - Heatherton",null,2018,null,102,null,null,15.9,null,null
null,null,307.6,null,null,"208031192",null,null,null,null,null,null,null,"Moorabbin Airport",null,2018,null,null,null,null,null,null,null
null,null,378.6,4.9,null,"209011204",null,null,null,null,423,null,null,"Watsonia",null,2018,null,86,null,null,9.9,null,null
null,null,796.8,12.6,null,"208031193",null,null,null,null,1070,null,null,"Mordialloc - Parkdale",null,2018,null,421,null,null,15.1,null,null
104,4,900.9,3.8,null,"209021205",null,11.5,null,null,527,null,null,"Kingsbury",4,2018,11.5,270,104,null,10.3,null,null
null,null,896.6,6.6,null,"209021207",null,null,null,null,1120,null,null,"Reservoir - East",null,2018,null,743,null,null,15.8,null,null
null,null,1015.4,6.6,null,"209021208",null,null,null,null,1032,null,null,"Reservoir - West",null,2018,null,664,null,null,15.2,null,null
null,null,615.5,8.1,null,"208041194",null,null,null,null,590,null,null,"Malvern - Glen Iris",null,2018,null,321,null,null,15.0,null,null
null,null,356.8,5.3,null,"209021429",null,null,null,null,521,null,null,"Preston - West",null,2018,null,259,null,null,16.6,null,null
9,4,1948.8,4.8,null,"209031209",null,0.5,null,null,1173,null,null,"Eltham",4,2018,0.5,242,9,null,14.9,null,null
7,1,1484.2,1.0,null,"209031210",null,0.5,null,null,279,null,null,"Hurstbridge",1,2018,0.5,104,7,null,9.4,null,null
264,11,31950.4,2.5,15.4,"209031211",null,16.2,null,null,433,null,2,"Kinglake",13,2018,0.8,246,5172,4907,12.2,null,null
1353,65,29219.8,3.9,20.2,"209031212",null,24.9,null,null,545,null,1,"Panton Hill - St Andrews",66,2018,4.6,294,7267,5915,10.8,null,null
null,null,2911.7,3.0,null,"209031213",null,null,null,null,554,null,null,"Plenty - Yarrambat",null,2018,null,204,null,null,16.6,null,null
179,13,4979.5,1.8,null,"209031214",null,3.6,null,null,443,null,null,"Research - North Warrandyte",13,2018,3.6,114,179,null,11.6,null,null
null,null,756.7,21.8,null,"208041195",null,null,null,null,671,null,null,"Malvern East",null,2018,null,330,null,null,14.1,null,null
null,null,637.2,7.1,null,"209011198",null,null,null,null,656,null,null,"Heidelberg - Rosanna",null,2018,null,258,null,null,11.2,null,null
null,null,256.0,4.0,null,"209041217",null,null,null,null,357,null,null,"Bundoora - West",null,2018,null,181,null,null,8.8,null,null
null,null,1206.0,1.5,null,"209041219",null,null,null,null,1038,null,null,"Lalor",null,2018,null,944,null,null,12.7,null,null
308,3,29798.0,7.5,14.0,"209041225",null,15.0,null,null,776,null,1,"Whittlesea",4,2018,1.0,529,4475,4167,13.8,null,null
null,null,1446.2,8.2,null,"209041430",null,null,null,null,1530,null,null,"Doreen",null,2018,null,5825,null,null,17.9,null,null
null,null,669.1,5.4,null,"209011199",null,null,null,null,501,null,null,"Heidelberg West",null,2018,null,546,null,null,16.5,null,null
null,null,505.0,5.6,null,"209011200",null,null,null,null,448,null,null,"Ivanhoe",null,2018,null,228,null,null,10.3,null,null
4,1,695.3,1.1,null,"213041463",null,0.6,null,null,1303,null,null,"Caroline Springs",1,2018,0.6,1333,4,null,9.2,null,null
null,null,427.7,5.9,null,"209011201",null,null,null,null,337,null,null,"Ivanhoe East - Eaglemont",null,2018,null,144,null,null,10.1,null,null
null,null,1202.8,3.5,null,"209011202",null,null,null,null,751,null,null,"Montmorency - Briar Hill",null,2018,null,209,null,null,12.1,null,null
null,null,1023.8,4.9,null,"209011203",null,null,null,null,852,null,null,"Viewbank - Yallambie",null,2018,null,302,null,null,10.6,null,null
null,null,776.9,3.2,null,"209041431",null,null,null,null,909,null,null,"Epping - East",null,2018,null,1012,null,null,9.7,null,null
null,null,774.6,5.2,null,"209021428",null,null,null,null,834,null,null,"Preston - East",null,2018,null,422,null,null,17.0,null,null
177,1,1587.1,3.2,null,"209041432",null,11.2,null,null,605,null,null,"Epping - South",1,2018,11.2,645,177,null,9.2,null,null
null,null,735.7,3.3,null,"209041433",null,null,null,null,498,null,null,"Epping - West",null,2018,null,821,null,null,15.3,null,null
65,2,2382.3,8.4,null,"209041434",null,2.7,null,null,981,null,null,"Mernda",2,2018,2.7,4449,65,null,22.8,null,null
8,1,1370.9,2.7,null,"209041435",null,0.6,null,null,687,null,null,"South Morang (North)",1,2018,0.6,991,8,null,16.4,null,null
167,1,5389.2,19.3,null,"209041437",null,3.1,null,null,774,null,null,"Wollert",1,2018,3.1,2049,167,null,48.3,null,null
18,5,2682.5,9.1,null,"209031215",null,0.7,null,null,841,null,null,"Wattle Glen - Diamond Creek",5,2018,0.7,239,18,null,13.5,null,null
null,null,371.9,5.6,null,"210011226",null,null,null,null,346,null,null,"Airport West",null,2018,null,206,null,null,12.0,null,null
null,null,335.5,null,null,"210011227",null,null,null,null,null,null,null,"Essendon Airport",null,2018,null,null,null,null,null,null,null
null,null,471.5,3.8,null,"209041216",null,null,null,null,333,null,null,"Bundoora - North",null,2018,null,216,null,null,11.7,null,null
null,null,280.3,6.1,null,"210011230",null,null,null,null,297,null,null,"Niddrie - Essendon West",null,2018,null,175,null,null,12.1,null,null
null,null,1302.7,8.0,null,"212031300",null,null,null,null,2170,null,null,"Cranbourne",null,2018,null,2430,null,null,15.5,null,null
null,null,4289.0,35.5,null,"212031301",null,null,null,null,2084,null,null,"Cranbourne East",null,2018,null,6536,null,null,75.6,null,null
null,null,813.6,6.5,null,"209041220",null,null,null,null,917,null,null,"Mill Park - North",null,2018,null,164,null,null,9.7,null,null
null,null,493.0,5.9,null,"209041221",null,null,null,null,616,null,null,"Mill Park - South",null,2018,null,108,null,null,9.6,null,null
null,null,1468.5,10.2,null,"209041223",null,null,null,null,1040,null,null,"Thomastown",null,2018,null,280,null,null,11.6,null,null
67,6,50774.6,15.9,13.9,"209041224",null,14.0,null,null,1517,null,1,"Wallan",7,2018,0.1,2110,7106,7039,14.5,null,null
null,null,774.5,2.6,null,"209041436",null,null,null,null,807,null,null,"South Morang (South)",null,2018,null,986,null,null,13.5,null,null
null,null,1751.2,5.1,null,"210011228",null,null,null,null,470,null,null,"Keilor",null,2018,null,123,null,null,14.9,null,null
null,null,1089.2,7.5,null,"210011229",null,null,null,null,1205,null,null,"Keilor East",null,2018,null,556,null,null,6.7,null,null
null,null,414.4,5.3,null,"210011231",null,null,null,null,390,null,null,"Strathmore",null,2018,null,200,null,null,10.5,null,null
298,5,21105.7,6.8,16.8,"210021232",null,18.2,null,null,1160,null,1,"Gisborne",6,2018,1.4,1022,3839,3541,16.9,null,null
6,2,7299.0,3.6,null,"210021233",null,0.1,null,null,267,null,null,"Macedon",2,2018,0.1,86,6,null,18.1,null,null
601,11,8335.0,7.3,null,"210021234",null,7.2,null,null,440,null,null,"Riddells Creek",11,2018,7.2,293,601,null,10.8,null,null
246,18,62471.0,18.8,null,"210021235",null,0.4,null,null,1025,null,null,"Romsey",18,2018,0.4,741,246,null,17.1,null,null
null,null,1023.9,8.3,null,"212031302",null,null,null,null,1799,null,null,"Cranbourne North",null,2018,null,2358,null,null,19.4,null,null
null,null,487.8,4.4,null,"210031236",null,null,null,null,360,null,null,"Coburg North",null,2018,null,261,null,null,16.5,null,null
null,null,508.5,14.7,null,"210031237",null,null,null,null,475,null,null,"Fawkner",null,2018,null,226,null,null,12.8,null,null
null,null,152.3,8.8,null,"210031439",null,null,null,null,164,null,null,"Gowanbrae",null,2018,null,37,null,null,9.3,null,null
null,null,698.4,10.9,null,"210031239",null,null,null,null,835,null,null,"Pascoe Vale",null,2018,null,887,null,null,12.7,null,null
null,null,305.0,15.9,null,"210031440",null,null,null,null,209,null,null,"Hadfield",null,2018,null,226,null,null,11.8,null,null
null,null,12954.9,15.2,null,"210041240",null,null,null,null,970,null,null,"Sunbury",null,2018,null,675,null,null,12.0,null,null
110,6,13113.6,25.8,null,"210041241",null,0.8,null,null,1998,null,null,"Sunbury - South",6,2018,0.8,1889,110,null,14.5,null,null
null,null,885.8,15.7,null,"210031438",null,null,null,null,782,null,null,"Glenroy",null,2018,null,890,null,null,12.8,null,null
null,null,462.5,9.0,null,"210051247",null,null,null,null,708,null,null,"Meadow Heights",null,2018,null,73,null,null,11.7,null,null
null,null,3038.5,null,null,"210051248",null,null,null,null,9,null,null,"Melbourne Airport",null,2018,null,null,null,null,12.5,null,null
null,null,882.7,13.5,null,"210051242",null,null,null,null,479,null,null,"Broadmeadows",null,2018,null,202,null,null,13.5,null,null
null,null,386.0,9.3,null,"210051250",null,null,null,null,371,null,null,"Tullamarine",null,2018,null,82,null,null,9.1,null,null
53,1,1818.7,11.5,null,"210051243",null,2.9,null,null,853,null,null,"Campbellfield - Coolaroo",1,2018,2.9,155,53,null,14.7,null,null
