frt_nut_grapes_wine_prod, hay_crl_for_hay, frt_nut_pome_frt_apples, brdacrcrp_crlcrp_brly, brdacrcrp_crlcrp_maize, frt_nut_grapes_total, frt_nut_stn_frt_cherries, frt_nut_pome_frt_pear, frt_nut_citrus_oth_nec, frt_nut_pome_frt_oth_nec, nursry_flwrs_turf_cut_flwrs_outdoor, frt_nut_stn_frt_plums, veggies_total, veggies_beans, brdacrcrp_non_crlcrp_chickpeas, brdacrcrp_crlcrp_rice, frt_nut_citrus_limes, veggies_tomatoes_process, frt_nut_oth_frt_strawberries, frt_nut_orchard_fruit_avocados, frt_nut_stn_frt_peaches, livstk_prod_eggs, livstk_slght_oth_oth_nec, brdacrcrp_non_crlcrp_lentils, brdacrcrp_total, veggies_potatoe, frt_nut_oth_frt_oth_berr_nec, total_agriculture, veggies_pumpkins, brdacrcrp_non_crlcrp_mung_bean, nursry_flwrs_turf_turf, brdacrcrp_othcrp_nec, hay_total, veggies_lettuces, frt_nut_stn_frt_nectarines, brdacrcrp_non_crlcrp_lupins, nursry_flwrs_turf_total, veggies_peas_fresh, brdacrcrp_non_crlcrp_faba_beans, livstk_slght_oth_poultry, livstk_slght_oth_sheep_lamb, frt_nut_stn_frt_oth_nec, veggies_cauliflowers, veggies_oth_nec, frt_nut_citrus_grapefruits, livstk_prod_wool, veggies_peas_process, veggies_broccoli, livstk_prod_milk, brdacrcrp_non_crlcrp_cotton, brdacrcrp_crlcrp_tritcle, frt_nut_stn_frt_apricots, livstk_slght_oth_catl_calves, brdacrcrp_crlcrp_oth_crl, brdacrcrp_non_crlcrp_oilseed_oth, livstk_slght_oth_total, frt_nut_orchard_fruit_mangoes, veggies_onions, frt_nut_citrus_oranges, frt_nut_citrus_lemons, brdacrcrp_crlcrp_wheat, nursry_flwrs_turf_cut_flwrs, brdacrcrp_non_crlcrp_peanuts, livstk_prod_total, frt_nut_citrus_mandarins, nursry_flwrs_turf_nursry_outdoor, brdacrcrp_crlcrp_srgum, frt_nut_nuts_almonds, frt_nut_oth_frt_kiwifruit, frt_nut_oth_frt_oth_nec, hay_oth_crp_for_hay, frt_nut_orchard_fruit_oth_nec, veggies_tomatoes_fresh, frt_nut_oth_frt_pineapples, livstk_slght_oth_goats, nursry_flwrs_turf_nursry_undcov, veggies_cabbages, frt_nut_oth_frt_bananas, hay_lucerne_cut_for_hay, livstk_slght_oth_pigs, hay_oth_psture_for_hay, veggies_mushrooms, frt_nut_excl_grp_total, frt_nut_oth_frt_blueberries, brdacrcrp_non_crlcrp_sugar_cane, sa2_name11, veggies_melons, total_crp_value, nursry_flwrs_turf_cut_flwrs_undcov, veggies_brssl_sprts, veggies_carrots, brdacrcrp_non_crlcrp_oilseed_canola, veggies_sweet_corn, frt_nut_grapes_oth_use, frt_nut_nuts_macadamias, nursry_flwrs_turf_nurseries, veggies_capsicum, sa2_code11, brdacrcrp_non_crlcrp_oth_pulses, frt_nut_nuts_oth_nec, brdacrcrp_crlcrp_oats
null,24169.61,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101.94,0.0,null,36915.18,null,null,1.0041191E7,null,null,null,null,313639.78,null,null,null,null,null,null,495.95,3837613.2,null,null,null,null,2143117.2,null,null,526609.94,null,null,null,3127370.5,null,null,6974263.5,null,null,null,null,11023.58,null,null,2669829.2,null,null,null,null,null,null,261514.1,null,null,null,8783.77,null,null,null,null,null,27956.08,null,null,null,null,"Kilmore - Broadford",null,397098.34,null,null,null,null,null,null,null,null,null,"204011056",null,null,25891.6
111965.88,144203.62,null,12238.65,null,111965.88,896393.94,null,null,null,null,null,6805236.0,null,null,null,null,null,null,null,null,805.3,0.0,null,216134.61,null,null,6.03361E7,null,null,null,null,536753.8,null,null,null,552666.75,null,null,453.89,1.5846669E7,null,null,6987.49,null,8026080.5,null,null,329506.22,null,null,null,2.4114878E7,null,null,4.2446636E7,null,null,null,null,203895.95,null,null,8356392.0,null,552666.75,null,null,null,36148.9,null,null,6798248.5,null,2483175.8,null,null,null,25241.4,1457.99,367308.8,null,1310316.4,null,null,"Mansfield (Vic.)",null,9533073.0,null,null,null,null,null,null,null,552666.75,null,"204011057",null,null,null
52292.41,107809.77,null,834.59,null,52292.41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3314.98,0.0,null,147459.42,null,null,3.0811186E7,null,null,4100619.0,null,396269.38,null,null,null,4100619.0,null,null,20767.33,8483447.0,null,null,null,null,6200343.5,null,null,848795.06,null,null,null,1.0103707E7,null,null,1.9062092E7,null,null,null,null,111081.44,null,null,7052453.5,null,null,2.81,null,null,null,null,null,null,null,null,null,null,null,46603.46,454169.8,241856.16,null,null,null,null,"Seymour Region",null,4696640.5,null,null,null,35540.58,null,null,null,null,null,"204011060",null,null,null
null,253671.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,412424.97,0.0,null,175415.06,null,28132.22,2.34346304E8,null,null,null,null,5348679.5,null,null,null,591603.0,null,null,6106614.0,5571342.0,null,null,null,null,2174329.2,null,null,1.19654736E8,null,null,null,9.4121848E7,175415.06,null,1.05918472E8,null,null,null,null,null,null,null,1.22241488E8,null,513537.22,null,null,null,null,32687.57,null,null,null,84405.03,78065.76,null,null,117315.93,34266.93,4945005.0,null,70634.86,29469.8,null,"Foster",null,6186332.5,null,null,null,null,null,null,null,591603.0,null,"205031087",null,13032.84,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1328595.9,null,null,null,null,112428.74,null,null,null,null,null,null,null,97278.29,null,null,null,null,56342.56,null,null,null,null,null,null,1062546.4,null,null,1159824.6,null,null,null,null,null,null,null,56342.56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112428.74,null,null,null,null,"French Island",null,112428.74,null,null,null,null,null,null,null,null,null,"205031088",null,null,null
8820.23,29012.13,null,null,null,8820.23,null,null,null,null,null,null,1475151.8,43371.87,null,null,null,null,null,null,null,16783.79,0.0,null,0.0,null,null,1.1957556E8,null,null,null,null,3558023.8,null,null,null,null,505392.62,null,3605023.5,731677.94,null,null,816892.5,null,270709.75,null,null,6.627736E7,null,null,null,4.3458228E7,null,null,4.7968708E7,null,null,null,null,0.0,null,null,6.6564856E7,null,null,null,null,null,null,1920.57,null,null,null,64186.62,null,null,null,105229.44,109591.44,3421861.8,null,null,null,null,"Korumburra",null,5041996.0,null,null,null,null,null,null,null,null,null,"205031089",null,null,null
32823.14,6999.21,383.23,16138.31,null,32823.14,null,192.69,null,null,null,1597.7,3.5868496E7,57023.34,null,null,null,null,null,14406.84,30.36,282.74,0.0,null,16138.31,3508113.5,null,1.73642432E8,null,null,null,null,5376653.5,4231.99,100.72,null,114700.11,936544.9,null,1991.85,2209392.0,null,647527.3,2.8645528E7,205.82,962036.4,8003.06,562447.1,7.4715568E7,null,null,112.11,5.4295656E7,null,null,5.653592E7,null,1499076.0,408.95,423.85,null,null,null,7.567788E7,320.76,17117.91,0.0,null,null,null,11127.93,null,null,null,5832.6,97582.2,null,null,144682.3,23048.15,5213844.0,null,19812.13,null,null,"Leongatha",null,4.1428624E7,null,null,null,null,null,null,null,114700.11,null,"205031090",null,1629.11,null
null,null,null,null,null,null,null,null,null,null,null,null,20599.2,null,null,null,null,null,null,null,null,17317.43,null,null,null,null,null,3303719.2,null,null,null,null,293313.12,null,null,null,null,null,null,10649.74,611602.8,null,null,20599.2,null,239260.6,null,null,3418.88,null,null,null,2100946.8,null,null,2729810.0,null,null,null,null,null,null,null,259996.9,null,null,null,null,null,null,null,null,null,null,5875.85,null,null,null,null,734.8,293313.12,null,null,null,null,"Phillip Island",null,313912.3,null,null,null,null,null,null,null,null,null,"205031091",null,null,null
3129.17,null,null,10276.66,null,3129.17,null,null,null,null,null,null,1.2280344E7,3863333.5,null,null,null,null,null,null,null,93190.77,0.0,null,10276.66,null,null,1.14775968E8,null,null,null,null,6241280.5,null,null,null,493036.25,2848994.8,null,62152.11,476208.38,null,null,null,null,213383.19,null,1265415.5,5.3202064E7,null,null,null,4.1644104E7,null,null,4.2239268E7,null,null,null,null,null,null,null,5.3508636E7,null,102707.45,null,null,null,null,18430.36,null,null,null,52533.51,390328.78,null,null,null,4268.61,6222850.0,null,null,null,null,"Wonthaggi - Inverloch",null,1.9028066E7,null,null,null,null,3934776.8,null,null,493036.25,367823.2,"205031093",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,593733.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,593733.2,null,null,593733.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne",null,null,null,null,null,null,null,null,null,null,null,"206041122",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,1413803.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1413803.1,null,null,null,null,null,199342.11,null,null,null,null,null,null,null,null,null,722570.2,null,null,null,null,null,null,null,null,null,null,null,null,null,117531.81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,374359.03,null,null,null,null,null,null,null,null,"Cranbourne",null,1413803.1,null,null,null,null,null,null,null,null,null,"212031300",null,null,null
null,null,6378168.0,null,null,null,null,null,null,null,null,null,9871620.0,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,1.7559812E7,null,null,null,null,356271.38,3516159.5,null,null,531225.5,null,null,null,null,null,null,5987863.0,null,null,null,null,null,null,null,null,422527.1,null,null,422527.1,null,367597.06,null,null,null,null,null,null,null,79280.39,null,null,null,null,null,null,null,null,null,451945.1,null,null,339389.22,null,null,null,6378168.0,null,null,"Cranbourne East",null,1.7137284E7,null,null,null,null,null,null,null,531225.5,null,"212031301",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,898651.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1184322.2,null,null,null,null,null,null,null,null,null,null,null,null,62496.1,null,22629.54,null,null,25853.55,null,431743.34,null,null,null,null,197320.95,null,null,259817.05,null,null,null,null,null,null,null,25853.55,null,null,null,null,null,null,null,null,null,null,null,null,83515.48,null,null,null,null,null,null,null,null,"Wyndham Vale",null,898651.7,null,null,null,null,null,null,null,null,null,"213051369",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,91117.76,null,null,null,null,null,null,null,null,91117.76,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,91117.76,null,null,null,null,null,null,null,null,null,"Cheltenham - Highett (West)",null,91117.76,null,null,null,null,null,null,null,91117.76,null,"208011171",null,null,null
null,null,null,null,null,null,null,null,null,null,1454877.4,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,2792684.5,null,null,null,null,245.08,null,null,null,2778521.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13918.52,null,null,13918.52,null,null,null,null,null,1454877.4,null,null,null,1172182.0,null,null,null,null,null,null,null,null,null,151461.62,null,null,null,null,245.08,null,null,null,null,"Belgrave - Selby",null,2778766.0,null,null,null,null,null,null,null,1323643.6,null,"211051274",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1822355.2,null,null,null,null,null,null,null,null,1822355.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1822355.2,null,null,null,null,null,null,null,null,null,"Clayton South",null,1822355.2,null,null,null,null,null,null,null,1822355.2,null,"212041310",null,null,null
null,null,null,null,null,null,null,null,null,null,5094.22,null,73276.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1640338.2,null,null,null,null,null,null,null,null,1567061.9,null,null,null,null,null,null,73276.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,539752.3,null,null,null,315558.16,null,null,null,null,null,null,null,null,null,711751.4,null,null,null,null,null,null,null,null,null,"Dingley Village",null,1640338.2,534658.1,null,null,null,null,null,null,1027309.5,null,"212041313",null,null,null
25225.3,984583.44,5985206.5,454435.84,null,25225.3,42227.38,146002.08,null,null,null,11826.35,null,null,null,null,null,null,null,null,19092.62,450.44,0.0,null,2102609.8,null,null,4.861274E7,null,null,null,107513.81,1913189.2,null,null,null,171917.92,null,null,2165.24,1.9392266E7,null,null,null,null,1.1512688E7,null,null,948329.94,null,41.76,15035.67,6245899.0,null,null,2.571894E7,null,null,null,null,620884.06,null,null,1.2461469E7,null,171917.92,null,null,null,null,164589.92,null,null,null,56786.31,null,null,null,650753.9,21824.16,113262.04,null,6219390.5,null,null,"Castlemaine Region",null,1.0432333E7,null,null,null,360078.5,null,null,null,171917.92,null,"202021028",19252.91,null,540403.0
504.51,19883.95,null,null,null,504.51,null,null,null,null,127677.62,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,1.6746052E7,null,null,null,null,130534.23,null,null,null,295854.62,null,null,null,8076965.0,null,null,null,null,3851752.2,null,null,null,null,null,null,4064034.2,null,null,1.2467406E7,null,null,null,null,null,127677.62,null,3851752.2,null,167190.66,null,null,null,null,33186.32,null,null,null,326406.88,986.34,null,null,4226.17,null,73237.79,null,null,null,null,"Kyneton",null,426893.38,null,null,null,null,null,null,null,168177.0,null,"202021030",null,null,null
7567.59,null,null,null,null,7567.59,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28.61,0.0,null,null,null,null,2568095.5,null,null,null,null,186056.34,null,null,null,null,null,null,null,532127.9,null,null,null,null,247713.19,null,null,309924.34,null,null,null,1120304.9,null,null,1816805.4,null,null,null,null,null,null,null,557666.1,null,null,null,null,null,null,20701.97,null,null,null,null,null,null,null,18592.33,4226.99,146762.05,null,null,null,null,"Woodend",null,193623.94,null,null,null,null,null,null,null,null,null,"202021031",null,null,null
null,null,null,6059.82,null,null,null,null,null,null,62432.03,null,774379.5,null,null,null,null,null,null,null,null,null,0.0,null,15566.96,null,null,910966.25,null,null,null,null,null,20955.06,null,null,62432.03,null,null,null,2583.2,null,null,301178.88,null,820.78,null,null,null,null,null,null,55183.79,null,null,57766.99,null,null,null,null,9507.15,62432.03,null,820.78,null,null,null,null,null,null,null,null,452245.53,null,null,null,null,null,null,null,null,null,null,null,null,"Corio - Norlane",null,852378.5,null,null,null,null,null,null,null,null,null,"203021038",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72493.28,null,null,null,null,48558.11,null,null,null,null,null,null,null,3592.99,null,null,null,null,1141.62,null,null,null,null,null,null,19200.56,null,null,22793.55,null,null,null,null,null,null,null,1141.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48558.11,null,null,null,null,null,null,"Geelong West - Hamlyn Heights",null,48558.11,null,null,null,null,null,null,null,null,null,"203021040",null,null,null
null,3100.51,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2596833.2,null,null,null,null,39784.19,null,null,null,815809.6,null,null,null,950985.3,null,null,null,null,698340.75,null,null,null,null,null,null,91913.35,null,null,1042898.6,null,null,null,null,null,null,null,698340.75,null,780227.56,null,null,null,null,null,null,null,null,null,35582.07,null,null,null,null,36683.68,null,null,null,null,"Grovedale",null,855593.8,null,null,null,null,null,null,null,815809.6,null,"203021041",null,null,null
null,null,null,42721.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,133950.2,null,null,6731244.0,null,null,null,null,15855.61,null,null,null,null,null,36713.89,null,243311.6,null,null,null,null,140424.69,null,null,null,null,null,null,15235.52,null,null,266382.4,null,null,null,null,54514.61,null,null,140597.69,null,null,null,null,null,null,6300.28,null,null,null,null,null,null,null,null,null,9555.33,null,null,null,null,"Highton",null,null,null,null,null,null,null,null,null,null,null,"203021042",null,null,null
null,11763.86,null,814981.6,null,null,null,null,null,null,null,null,6238739.5,null,null,null,null,11437.36,null,null,null,21.9,0.0,null,3527802.5,null,null,4.340642E7,0.0,null,null,null,11763.86,4938387.0,null,null,9426829.0,null,null,1.8301948E7,3163936.8,null,null,336763.6,null,1930427.5,661.99,951489.75,234382.73,null,null,null,500822.62,null,null,2.2036454E7,null,null,null,null,999773.9,null,null,2164832.2,null,2841375.5,null,null,null,null,null,null,null,null,69747.37,6585454.0,null,null,null,null,null,null,null,null,null,"Lara",null,1.9205136E7,null,null,null,1395228.4,null,null,null,9426829.0,null,"203021043",301919.2,null,12245.02
12185.54,5599.61,null,null,null,12185.54,null,null,null,null,99466.28,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,1556819.8,null,null,null,null,13303.22,null,null,null,1277905.6,null,null,null,33052.67,null,null,null,null,67947.32,null,null,null,null,null,null,152425.45,null,null,185478.14,null,null,null,null,null,99466.28,null,67947.32,null,780227.56,null,null,null,null,null,null,null,null,null,398211.75,null,null,null,null,7703.61,null,null,null,null,"Leopold",null,1303394.4,null,null,null,null,null,null,null,1178439.2,null,"203021044",null,null,null
null,null,null,null,null,null,null,null,null,null,21380.58,null,310971.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,332442.4,915.25,null,null,null,null,null,null,null,21471.13,null,null,null,null,null,1508.28,303700.12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21423.33,null,null,null,null,null,null,null,null,null,null,4631.66,null,null,47.8,null,null,null,null,null,null,null,null,null,"Newcomb - Moolap",null,332442.4,42.74,null,null,null,null,null,null,47.8,215.96,"203021045",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,391661.0,null,null,null,null,null,null,null,null,77.36,null,null,99017.42,50667.87,null,1075609.2,null,null,null,null,12269.83,null,null,null,null,null,null,54.27,133492.52,null,null,null,null,52788.39,null,null,null,null,null,null,182207.72,null,null,315754.5,null,null,null,null,50235.03,null,null,106802.75,null,null,null,null,null,null,null,null,340993.12,null,null,null,null,null,3301.08,null,5200.53,null,null,null,null,"Clifton Springs",null,653052.0,null,null,null,48782.4,null,null,null,null,null,"203031048",null,null,null
17055.1,17607.41,152.52,80184.02,null,17055.1,null,38.34,null,null,null,null,3076543.8,null,null,null,null,null,42100.2,null,null,102.21,0.0,null,211217.86,null,null,1.1746244E7,null,null,null,null,961998.56,3076543.8,null,10891.42,49105.54,null,null,3883256.2,325233.66,null,null,null,null,203699.4,null,null,531646.94,null,null,11519.27,2432574.5,null,null,6641064.5,null,null,null,null,39910.85,null,null,735448.5,null,null,null,null,null,null,null,null,null,null,null,49105.54,null,null,10326.2,null,934064.94,null,53810.33,null,null,"Ocean Grove - Barwon Heads",null,4369731.0,null,null,null,80231.56,null,null,null,49105.54,null,"203031050",null,null,null
